StartDate,EndDate,ResponseID,age,city,race,race_other,gender,gender_other,enroll,drive,alcohol,cann5,cann9,sim,rx,text,speed,drowsy,seatbelt,rider_alcohol,rider_cann5,rider_cann9,rider_sim,rider_rx,rider_text,rider_speed,rider_drowsy,rider_seatbelt,DD,rideshare,walk,stayover,publictransit,bikes,other_altopt,dangeralc,dangercann5,dangercann9,dangersim,dangerrx,dangertext,dangerspeed,dangerdrowsy,dangerseatbelt,legalalc,legalcann5,legalcann9,legalsim,legalrx,legaltext,legalspeed,legaldrowsy,legalseatbelt,normsalc,normscann5,normscann9,normssim,normsrx,normstext,normsspeed,normsdrowsy,normsbelt,drivertrain,drivertrain_other,driveincome,negativedrive,negativedrive_text,ridingactivity,ridingact_text,skate,skatehelmet,electricskate,skatedestination,funskate,cityskate,skatepark,sundownskate,friendskate,skatealc,skatecann5,skatecann9,skatesim,skatetext,bike,bikehelmet,electricbike,bikedestination,funbike,citybike,bikepark,sundownbike,friendbike,bikealc,bikecann5,bikecann9,bikesim,biketext,scoot,scoothelmet,escoot,scootdestination,scootfun,cityscoot,scootpark,sundownscoot,friendscoot,alcscoot,cann5scoot,cann9scoot,simscoot,textscoot,negativeriding,negativeriding_text,cannabis1,cannabis2,cannabis3,cannabis4,cann_text,drowsy1,drowsy2,drowsy3,drowsy4,drowsy_text,aid,white,black,latine,asian,multirace,northafrican,me,pnarace,notlisted,genderbin,enrollbin,drivebin,alcoholbin,cann5bin,cann9bin,simbin,rxbin,textbin,speedbin,drowsybin,seatbeltbin,dangeralc_num,dangercann5_num,dangercann9_num,dangersim_num,dangerrx_num,dangertext_num,dangerspeed_num,dangerdrowsy_num,dangerseatbelt_num,riskalc_num,riskcann5_num,riskcann9_num,risksim_num,riskrx_num,risktext_num,riskspeed_num,riskdrowsy_num,riskseatbelt_num,normsalc_bin,normscann5_bin,normscann9_bin,normssim_bin,normsrx_bin,normstext_bin,normsspeed_bin,normsdrowsy_bin,normsbelt_bin
9/16/2025 1:24,9/16/2025 1:27,R_1jqSISBybxFmoP6,19,Cincinnati,White and/or European American,,Female,,Yes,Yes,Never,Twice,More than twice,Never,Never,More than twice,More than twice,More than twice,Never,Never,More than twice,More than twice,More than twice,Never,More than twice,More than twice,More than twice,Never,Never,More than twice,Twice,Twice,More than twice,Prefer not to answer,Prefer not to answer,Very dangerous,Somewhat dangerous,Somewhat dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Somewhat dangerous,Somewhat safe,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,Online,,No,Yes,Crash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68c9b93f-1318-0ae2-12ee-065f0165e863,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,5,4,4,5,5,4,4,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
9/16/2025 1:24,9/16/2025 1:28,R_3fZWinMlfR7kPqz,21,Dayton,White and/or European American,,Female,,No,Yes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very dangerous,Somewhat dangerous,Unsure,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Somewhat likely,Somewhat unlikely,Very unlikely,Somewhat likely,Very likely,Very likely,Very likely,Very likely,Very likely,Once,Once,Once,Once,Once,Once,Once,Once,Once,I didn't complete a driver training course prior to receiving my driver's license,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68c9b91c-a1b7-3091-3143-ad968bcdaefd,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,4,3,5,5,5,5,5,5,4,2,1,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1
9/16/2025 1:28,9/16/2025 1:34,R_2V1P6d5t08tdlp6,22,Other,White and/or European American,,Male,,No,Yes,Never,Never,Never,Never,Never,Once,More than twice,More than twice,Never,Never,Never,Never,Never,Never,Never,More than twice,Never,Never,Never,Once,Once,Once,Twice,Never,Never,Somewhat dangerous,Unsure,Somewhat dangerous,Somewhat dangerous,Somewhat dangerous,Very dangerous,Unsure,Somewhat dangerous,Somewhat dangerous,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Unsure,Very likely,Somewhat likely,Somewhat likely,Very likely,Twice,Once,Once,Once,Once,Once,Once,Twice,Once,In person,,No,Yes,Someone brake checked me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68c9ba49-03cf-1a35-3db6-d4388aa0e847,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,4,3,4,4,4,5,3,4,4,4,4,4,4,3,5,4,4,5,1,1,1,1,1,1,1,1,1
9/16/2025 1:31,9/16/2025 1:34,R_2e2rLMZ7pv0vMAh,20,Cleveland,White and/or European American,,Female,,Yes,Yes,Never,Never,Never,Never,Never,More than twice,More than twice,Never,More than twice,Twice,Never,Never,Never,Never,More than twice,More than twice,Never,More than twice,Never,Never,Never,Never,Never,Never,Never,Somewhat dangerous,Somewhat dangerous,Somewhat safe,Very dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Somewhat dangerous,Very dangerous,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Very likely,Very likely,Somewhat likely,Very likely,Once,More than twice,More than twice,More than twice,Once,More than twice,More than twice,More than twice,More than twice,In person,,"Yes, for delivery (e.g., Amazon Flex, DoorDash, Instacart)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68c9bac4-a3f4-b5e5-9729-13cada5e2905,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,4,4,2,5,5,5,4,4,5,4,4,4,4,4,5,5,4,5,1,1,1,1,1,1,1,1,1
9/16/2025 1:33,9/16/2025 1:37,R_DFOBSiHotmo5kml,19,Columbus,White and/or European American,,Female,,Yes,No,,,,,,,,,,Never,Never,Never,Never,Never,Once,More than twice,More than twice,Never,More than twice,More than twice,More than twice,More than twice,Never,Never,Never,Somewhat dangerous,Very safe,Very safe,Somewhat safe,Unsure,Somewhat dangerous,Very safe,Very safe,Very dangerous,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,I didn't complete a driver training course prior to receiving my driver's license,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68c9bb3e-ffd1-22e5-8091-431ca54eb0e3,1,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,4,1,1,2,3,4,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/16/2025 2:00,9/16/2025 2:06,R_28ZqB6FtpSGqWS8,20,Cleveland,Black and/or African American,,Female,,No,Yes,Never,Never,Never,Never,Never,More than twice,Never,Twice,More than twice,Never,Never,Never,Never,Never,Once,Never,Never,More than twice,Twice,Never,More than twice,More than twice,More than twice,More than twice,Once,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Very dangerous,Very dangerous,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,More than twice,Twice,Once,Twice,Twice,More than twice,More than twice,More than twice,More than twice,Online,,"Yes, for rideshare (e.g., Uber, Lyft)",No,,Bicycling (street and BMX),,,,,,,,,,,,,,,,2,None,None,Half,Half,A Few,A Few,A Few,None,Never,Never,Never,Never,,,,,,,,,,,,,,,,No,,,,,,,,,,,,68c9c1c3-b72a-b503-1eeb-3a71410c1968,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1
9/16/2025 2:03,9/16/2025 2:07,R_RE0SBIach3KLKzn,19,Columbus,Black and/or African American,,Female,,Yes,Yes,Twice,More than twice,Once,Once,More than twice,Twice,Twice,Once,Once,Once,Once,Once,Twice,Once,More than twice,Once,Twice,Twice,Twice,Twice,Once,Twice,Once,Once,Once,Somewhat dangerous,Unsure,Unsure,Somewhat dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Unsure,Unsure,Somewhat unlikely,Very unlikely,Somewhat likely,Unsure,Somewhat unlikely,Somewhat unlikely,Very unlikely,Very unlikely,Unsure,Once,Once,Twice,Once,More than twice,Once,Once,Once,Twice,In person,,"Yes, for delivery (e.g., Amazon Flex, DoorDash, Instacart)",Yes,I almost hit a car,"Bicycling (street and BMX),Horseback riding",,,,,,,,,,,,,,,,3,A Few,Half,Half,Half,None,A Few,None,Half,Twice,Once,Twice,Once,,,,,,,,,,,,,,,,Yes,I almost hit my head on a metal,,,,,,,,,,,68c9c28a-247c-9178-5647-ae6a402dd953,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,4,5,4,5,3,3,2,1,4,3,2,2,1,1,3,1,1,1,1,1,1,1,1,1
9/16/2025 2:06,9/16/2025 2:09,R_3PdiiSx7e9Is2Q9,18,Other,"Black and/or African American,Latine and/or Hispanic,White and/or European American,Multiracial and/or Biracial",,Female,,No,No,,,,,,,,,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very dangerous,Somewhat dangerous,Somewhat safe,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very likely,Somewhat unlikely,Very unlikely,Very likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Very unlikely,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,I didn't complete a driver training course prior to receiving my driver's license,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68c9c2ff-803d-7ebb-7a16-aac2fdd64615,1,1,1,0,1,0,0,0,0,1,0,0,,,,,,,,,,5,4,2,5,5,5,5,5,5,5,2,1,5,4,4,4,2,1,1,1,1,1,1,1,1,1,1
9/16/2025 2:10,9/16/2025 2:18,R_20OFWlsi5iVwXeC,21,Columbus,Black and/or African American,,Female,,Prefer not to answer,Yes,Once,Never,Never,Never,More than twice,Never,Never,More than twice,Twice,Never,Never,Never,Never,Never,Never,Never,More than twice,Never,Never,Never,Never,Never,Never,Never,Never,Very dangerous,Somewhat dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Very safe,Somewhat safe,Somewhat safe,Somewhat likely,Somewhat likely,Very likely,Very likely,Somewhat unlikely,Very likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,In person,,"Yes, other type of paid driving",Yes,"I was driving home, then I am waiting behind a whole line of cars because there was an accident by my neighborhood. The traffic took 10 minutes. However everyone behind me were safe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68c9c409-ee7d-9eb3-6430-bf594c9aac27,0,1,0,0,0,0,0,0,0,1,,1,1,0,0,0,1,0,0,1,1,5,4,5,5,4,5,1,2,2,4,4,5,5,2,5,4,2,2,1,1,1,1,1,1,1,1,1
9/16/2025 2:20,9/16/2025 2:25,R_2wzWoJZPWz0atlY,20,Cleveland,Black and/or African American,,Male,,No,Yes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Never,Never,Never,Never,Never,Never,Never,Never,Never,In person,,"Yes, for rideshare (e.g., Uber, Lyft)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not sure,,,,,Not sure,68c9c62f-58f1-30d6-1373-de073d82f6c2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0
